ID	CEP	Faturamento 2019	Gestor da Empresa
877	02860-001	30933	FABIO NETTO PINHEIRO GRANDE
878	02855-270	16606	FELIPE SANTOS ARAÚJO
879	05271-000	35679	GERALDO RODRIGUES DA SILVA JÚNIOR
880	02820-030	5745	HUGO AZEVEDO BERGAMASCHI
881	02855-180	34905	HUGO CRISOSTOMO DE MACEDO
882	02871-100	18715	HUGO DE MARCO FERNANDES
883	02763-080	36780	JESSICA BRAGA LAKISS GUSMÃO
884	02855-150	22807	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
885	02610-010	28222	KAIRO ROSA NEVES DE OLIVEIRA
886	02845-060	35781	LUCAS ERMINO TAVARES
887	02536-000	10238	LUISA BELUS HENRIQUES
888	02813-020	8605	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
889	21061-020	16640	MARCELO KOSARCZUK DA COSTA
890	21073-320	9658	MARCELO SEMERENE FARAH
891	21073-312	48008	MARIA HELENA C P GODEIRO GASPARINETTI
892	04379-030	34927	MATEUS DRIGO DA SILVA
893	04424-000	23965	MATHEUS AMARAL MÕES
894	04334-005	21971	REGINALDO DE MIRANDA TEODORO
895	09990-220	20117	ROBERTA CRISTINA FORMIGA DE CASTRO
896	04310-040	46341	RAQUEL DE SOUZA BATISTA FONTES
897	09950-770	16482	ALEXANDRE DE ALMEIDA FONSECA
898	04455-240	48629	ALINE BRAGA LAKISS GUSMÃO
899	04334-040	22739	ANA PAULA GARUTTI DA SILVA
900	04467-160	12390	ANA PAULA GONÇALVES DOS SANTOS
901	04334-150	35236	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
902	04421-180	15515	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
903	09853-005	49058	DANIEL ROCHA SANTANNA
904	04415-030	13796	DANIELA DE GOES NOGUEIRA GEORG
905	04671-200	5690	DAVI KHOURY OLIVEIRA
906	04310-040	22733	DEMILTON CARVALHO LEITE JUNIOR
907	04421-220	21602	DENIS BORGARELLI TAVARES
908	04413-000	44769	EDUARDO CAMPEDELLI KAVAMOTO
909	04309-010	35387	FABIO NETTO PINHEIRO GRANDE
910	04421-220	41418	FELIPE SANTOS ARAÚJO
911	04426-030	39310	GERALDO RODRIGUES DA SILVA JÚNIOR
912	09910-020	41021	HUGO AZEVEDO BERGAMASCHI
913	04429-280	18427	HUGO CRISOSTOMO DE MACEDO
914	22765-431	45100	HUGO DE MARCO FERNANDES
915	22773-130	4809	JESSICA BRAGA LAKISS GUSMÃO
916	22641-370	2260	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
917	22740-360	22317	KAIRO ROSA NEVES DE OLIVEIRA
918	22733-087	9292	LUCAS ERMINO TAVARES
919	22743-010	13236	LUISA BELUS HENRIQUES
920	22733-080	49729	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
921	22763-627	25856	MARCELO KOSARCZUK DA COSTA
922	22641-000	7699	MARCELO SEMERENE FARAH
923	21655-750	38396	MARIA HELENA C P GODEIRO GASPARINETTI
924	21370-030	19873	MATEUS DRIGO DA SILVA
925	21351-160	11538	MATHEUS AMARAL MÕES
926	21660-320	21615	REGINALDO DE MIRANDA TEODORO
927	21531-120	3817	ROBERTA CRISTINA FORMIGA DE CASTRO
928	21310-420	8178	RAQUEL DE SOUZA BATISTA FONTES
929	21531-500	20686	ALEXANDRE DE ALMEIDA FONSECA
930	21675-090	22633	ALINE BRAGA LAKISS GUSMÃO
931	21550-000	23141	ANA PAULA GARUTTI DA SILVA
932	21660-350	12702	ANA PAULA GONÇALVES DOS SANTOS
933	21750-000	38824	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
934	21310-430	39786	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
935	21380-003	8555	DANIEL ROCHA SANTANNA
936	21675-580	49462	DANIELA DE GOES NOGUEIRA GEORG
937	21670-310	11273	DAVI KHOURY OLIVEIRA
938	21675-580	41453	DEMILTON CARVALHO LEITE JUNIOR
939	21351-120	11349	DENIS BORGARELLI TAVARES
940	21670-220	3744	EDUARDO CAMPEDELLI KAVAMOTO
941	03816-150	48587	FABIO NETTO PINHEIRO GRANDE
942	03607-050	6826	FELIPE SANTOS ARAÚJO
943	03717-010	20706	GERALDO RODRIGUES DA SILVA JÚNIOR
944	03813-130	22036	HUGO AZEVEDO BERGAMASCHI
945	03543-140	21447	HUGO CRISOSTOMO DE MACEDO
946	03728-200	43088	HUGO DE MARCO FERNANDES
947	03813-310	28363	JESSICA BRAGA LAKISS GUSMÃO
948	03726-200	31618	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
949	03728-005	13480	KAIRO ROSA NEVES DE OLIVEIRA
950	03803-020	7739	LUCAS ERMINO TAVARES
951	03644-030	47715	LUISA BELUS HENRIQUES
952	03817-110	4326	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
953	03731-060	14114	MARCELO KOSARCZUK DA COSTA
954	03813-130	14003	MARCELO SEMERENE FARAH
955	03817-110	42743	MARIA HELENA C P GODEIRO GASPARINETTI
956	03717-010	40973	MATEUS DRIGO DA SILVA
957	03814-120	43096	MATHEUS AMARAL MÕES
958	07179-484	29654	REGINALDO DE MIRANDA TEODORO
959	07179-370	27988	ROBERTA CRISTINA FORMIGA DE CASTRO
960	07156-100	2111	RAQUEL DE SOUZA BATISTA FONTES
961	07140-383	42020	ALEXANDRE DE ALMEIDA FONSECA
962	07161-190	25398	ALINE BRAGA LAKISS GUSMÃO
963	07140-340	47463	ANA PAULA GARUTTI DA SILVA
964	07140-390	39310	ANA PAULA GONÇALVES DOS SANTOS
965	07140-390	37579	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
966	07143-222	36114	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
967	07134-170	22890	DANIEL ROCHA SANTANNA
968	07143-313	46529	DANIELA DE GOES NOGUEIRA GEORG
969	07142-212	27816	DAVI KHOURY OLIVEIRA
970	07161-180	26003	DEMILTON CARVALHO LEITE JUNIOR
971	07144-250	10043	DENIS BORGARELLI TAVARES
972	05360-160	2030	EDUARDO CAMPEDELLI KAVAMOTO
973	06293-150	45461	FABIO NETTO PINHEIRO GRANDE
974	06016-004	36802	FELIPE SANTOS ARAÚJO
975	06036-000	43708	GERALDO RODRIGUES DA SILVA JÚNIOR
976	06220-050	4468	HUGO AZEVEDO BERGAMASCHI
977	06293-150	38917	HUGO CRISOSTOMO DE MACEDO
978	06266-490	38295	HUGO DE MARCO FERNANDES
979	06236-815	49049	JESSICA BRAGA LAKISS GUSMÃO
980	06040-004	48018	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
981	06226-180	1510	KAIRO ROSA NEVES DE OLIVEIRA
982	06288-180	50167	LUCAS ERMINO TAVARES
983	05314-000	29195	LUISA BELUS HENRIQUES
984	06226-240	40731	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
985	06288-100	39233	MARCELO KOSARCZUK DA COSTA
986	05360-180	20649	MARCELO SEMERENE FARAH
987	23081-332	19631	MARIA HELENA C P GODEIRO GASPARINETTI
988	23591-320	46519	MATEUS DRIGO DA SILVA
989	23573-400	49448	MATHEUS AMARAL MÕES
990	23066-440	41698	REGINALDO DE MIRANDA TEODORO
991	23060-275	6055	ROBERTA CRISTINA FORMIGA DE CASTRO
992	23585-081	14225	RAQUEL DE SOUZA BATISTA FONTES
993	23059-800	6724	ALEXANDRE DE ALMEIDA FONSECA
994	23550-740	23880	ALINE BRAGA LAKISS GUSMÃO
995	23570-440	47940	ANA PAULA GARUTTI DA SILVA
996	23525-020	22107	ANA PAULA GONÇALVES DOS SANTOS
997	23580-250	6724	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
998	23555-130	23880	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
999	23811-600	47940	DANIEL ROCHA SANTANNA
1000	06327-310	22107	DANIELA DE GOES NOGUEIRA GEORG
